sifrapu,lat,lon
26956,46.1551194,14.9290036
26964,46.2851572,15.1932737
26972,46.2444916,15.2683554
26980,46.4687055,14.8549066
26999,46.2153198,15.3912181
27111,46.0535247,14.5028274
27138,46.0444942,14.5079989
27146,46.0525178,14.5071495
27154,46.0533262,14.5054906
27170,46.0533262,14.5054906
27405,46.0553961,14.5075806
27413,45.8860671,13.9053569
27421,45.9083784,15.5939772
27430,46.2313264,15.2654311
27448,45.5693104,14.2426509
27456,46.2241023,14.6098774
27464,45.6388842,14.8654036
27472,45.548338,13.728965
27480,46.2476738,14.3532341
27499,45.9444675,15.4861752
27502,46.053638,14.5101765
27510,46.5323815,15.6653686
27529,46.3406206,14.9609953
27537,46.6607012,16.1634749
27545,45.9576499,13.6457656
27553,45.8017547,15.1627116
27561,46.4076285,16.1439305
27570,46.420479,15.8739878
27588,46.5434281,14.9681556
27596,45.7421466,14.7263894
27600,46.0105157,15.3018226
27618,46.3921403,15.5721774
27626,46.1550176,15.0482231
27634,46.3614074,15.1164618
27642,46.2509602,15.1619229
27650,46.0762923,14.5058932
27669,45.8890462,14.446326
27677,45.9089513,15.5937023
27685,46.2344534,15.2644783
27693,46.006684,14.0215924
27707,45.9538189,14.8358997
27715,45.5441545,13.688951
27723,46.4429959,14.0369718
27731,45.5805124,13.7292126
27740,46.2486692,14.3542226
27758,46.0516715,14.5065828
27766,46.3297761,14.3321336
27774,46.052143,14.5207969
27782,46.052143,14.5207969
27790,46.0522665,14.5715746
27804,46.0673801,14.5239259
27812,46.5528861,15.6486935
27820,46.6500626,16.187267
27839,45.8004558,15.1633517
27847,46.4072051,16.1406554
27855,45.7713457,14.2097594
27863,46.4259866,15.8771186
27871,46.3770365,14.2018056
27880,45.7088793,13.8672998
27898,46.5080548,15.0810175
27901,45.9302039,13.6408348
27910,46.4016065,15.0205669
27928,46.1539044,15.0471856
27936,46.2839295,15.3049116
27944,45.886361,13.9036566
27952,45.9083784,15.5939772
27960,46.2317184,15.2625659
27979,45.790841,14.365359
27987,45.5753718,15.1879098
27995,46.1395471,14.5969587
28401,46.0830213,14.4862277
30007,45.856609,14.6461007
30015,46.3337575,15.2259523
30023,46.431704,15.9463691
30031,45.9474849,14.5478269
30040,46.5427468,16.1504244
30058,46.5656132,15.7881635
30066,46.0246636,14.8309611
30074,46.3476476,14.1591116
30082,45.7644955,13.82893
30090,46.1710793,14.2996335
30104,45.88819,13.9031248
30112,45.9044006,15.5921963
30120,46.2470078,15.2709791
30139,45.7936045,14.3629697
30147,45.5756668,15.1892687
30155,46.1386577,14.5941109
30163,46.5872544,15.0260077
30171,46.6770121,15.9906677
30180,45.9560468,14.6631578
30198,46.1454283,15.0835398
30201,46.0036415,14.0283793
30210,45.5615466,14.2449285
30228,45.5299167,13.6668823
30236,46.4327934,14.061468
30244,46.2239081,14.6127646
30252,45.6406202,14.8583236
30260,45.5481506,13.7347147
30279,46.2431241,14.3548055
30287,45.9670243,15.4849836
30295,46.1537739,15.2366107
30309,46.5771945,15.8280701
30317,46.569003,16.4494469
30325,46.0572467,14.8216741
30333,46.0541846,14.5052069
30341,46.0444952,14.4857324
30350,46.0655038,14.5075567
30368,46.0561647,14.5384831
30376,46.0735182,14.4866148
30384,46.5179931,16.198403
30392,45.9176752,14.2226476
30406,46.5315113,15.6647574
30414,45.6453864,15.3162678
30422,46.3405884,14.9651944
30430,46.659508,16.1660647
30449,45.9557423,13.6456025
30457,45.800158,15.1702494
30465,46.4079793,16.1451694
30473,46.6090269,15.6779261
30481,45.5034875,13.6033706
30490,45.7736257,14.2123401
30503,46.4210057,15.8742912
30511,46.6145074,15.2245651
30520,46.3458184,14.1733555
30538,46.5387056,14.9621464
30546,45.7383304,14.7278703
30554,46.5415639,15.5177978
30562,46.0100847,15.3025607
30570,45.7067522,13.8696609
30589,46.508225,15.0778816
30597,46.3902856,15.5720441
30600,46.3392731,15.4280326
30619,46.2171091,15.395424
30627,46.1695466,14.3095456
30635,46.230829,15.5250245
30643,46.1822668,13.734032
30651,46.156806,15.0536384
30660,45.9077523,15.0076992
30678,46.3647483,14.308815
30686,46.3596724,15.1130845
30694,45.9703537,14.3008398
30708,46.1330292,14.9966999
30716,46.2529573,15.1619193
30732,46.2512131,14.3511418
30740,46.0665555,14.4880559
30759,46.5473266,15.6430268
30767,45.7954045,15.1643465
30775,46.1358136,15.002255
30791,45.9019759,15.5949902
30805,46.3269712,15.0355629
30813,46.0469485,14.4935354
30848,46.1378194,14.5908862
30856,46.1595079,14.5630948
30864,45.9418386,15.4776864
30872,46.054619,14.561091
30899,46.5476725,14.9268324
30902,46.5211513,16.1935297
30910,46.6542895,16.1677388
30929,45.5697779,15.1944071
30937,45.5485716,13.7281032
30945,45.7751762,14.2071587
30953,46.184781,13.7381365
30961,46.048498,14.5298209
30970,46.56039,15.6521007
30988,46.3635291,15.116083
30996,46.5075851,15.0768162
31003,46.2272049,15.2659947
31011,45.9556247,13.6401582
31020,46.002061,14.0252006
31038,45.9709541,13.6430011
31046,45.8392593,13.9588552
31054,45.8034128,15.1692472
31062,46.0576191,14.5034254
31070,46.0886582,14.6406301
31119,46.0455295,14.4913182
31127,46.0455295,14.4913182
32115,46.0574226,14.509497
33111,46.0573371,14.5147708
33308,46.0576404,14.5161721
33316,46.0576404,14.5161721
33324,46.0455428,14.5067203
33332,46.0645018,14.5098466
33405,46.0562368,14.5173696
33413,46.0455439,14.5065918
33421,46.055581,14.515478
34401,46.042021,14.4917838
34428,46.0429236,14.4875605
34436,46.0452652,14.4946318
34452,46.0425187,14.4928656
34460,46.0512363,14.4699693
34479,46.0422438,14.4920694
34495,45.7957248,14.3619178
34525,46.2496663,15.1619099
34533,46.1290476,14.476287
34541,46.0497179,14.4606558
34576,46.0706399,14.5145134
34584,46.4201146,15.8702117
34606,46.0401692,14.4865784
34614,46.0737809,14.5153119
34630,46.0502619,14.4962454
34673,46.0712592,14.5138743
34681,46.051933,14.5024802
34690,46.5630655,15.6516309
34720,46.0506759,14.5034179
